request_id,ip_hash,timestamp,endpoint,http_method,response_code,payload_size_bytes,requests_per_min,unique_endpoints_per_session,inter_request_time_seconds,hour_of_day,failed_auth_streak,is_abuse
d7310faf-ece2-423c-aeb0-cb823044e3af,86b37f20b42b1b343b64c339065b641b,2026-02-28 09:13:01,/auth/login,POST,401,267,68.319,2,1.261,20,29,1
906a91e6-4d78-4e7e-936b-7297ea5aaa2e,03600a07a090cb53d5280cf5b01d2ad4,2026-03-06 13:15:55,/auth/login,POST,404,226,4.048,3,4.832,11,0,0
1461c980-f338-41e0-b455-e174e9a5cd3b,75b9d18da7e0afb38cd0093df9cf134a,2026-03-23 12:27:44,/auth/login,GET,200,289,2.203,5,9.199,11,0,0
94c45823-9d6e-4926-bcde-d56538126761,e14d9eeba775ac5bc8b49ab4e41c4dc2,2026-03-01 17:01:32,/auth/logout,POST,200,182,1.562,5,4.825,14,0,0
4162d0c9-d887-4495-b755-ebc2120184b9,21e1797de0230301f126bfff22e6f257,2026-03-10 09:01:32,/auth/logout,POST,401,290,3.95,6,12.81,14,0,0
f9efee01-0725-4b98-9f08-b412dae3b27f,1e0f6a6d28d2bff68414468efce4c064,2026-02-27 14:11:20,/auth/logout,POST,401,240,2.209,7,16.527,14,1,0
2ffbfa60-b3d7-4722-bd0e-05e463c3f736,accd3a005522d37d3b500fccf1a2004e,2026-03-01 07:37:37,/auth/logout,POST,200,244,3.0,4,5.601,9,0,0
646d8138-f10b-4b94-9183-6bcc9e7523ea,441690673f01d562d43a55cdbf55ad60,2026-03-03 10:38:42,/auth/login,POST,401,245,78.755,2,1.002,10,45,1
f68c2741-edf6-49cf-91e6-e3abd7fef598,9587a14f13296fed8e3dd5ac092dda8b,2026-03-11 13:36:22,/auth/logout,POST,200,257,4.028,7,16.108,11,1,0
4397a6a5-c0c7-4e84-bba5-9a0b88565984,4d57e5df8471ea3a288dbed3497b2db1,2026-02-28 11:39:10,/auth/login,POST,401,275,3.743,8,11.037,15,0,0
e801d9dc-e1db-40d2-b1cb-e9d5271ab946,130423a5251c89909a04c6266cbdac61,2026-03-18 12:20:03,/auth/logout,POST,500,240,4.774,8,5.23,12,1,0
e5475aec-ecb9-40fa-94cc-512aff4c82ea,67e5f3ad682f0b2e96dd38740c0ef9a5,2026-03-18 13:17:20,/auth/logout,POST,200,274,3.839,6,10.414,14,1,0
a9a40014-85e9-4493-b5aa-454f33efe997,d5504da081e7c71be021382c0bbb4b85,2026-03-12 13:58:03,/auth/logout,POST,200,245,4.015,8,29.863,13,0,0
bfcd474b-bb6c-4a06-b40a-24235555cf67,a587fa57ffc22d0308846d5bb8910608,2026-03-18 15:13:26,/auth/logout,GET,200,267,2.479,6,5.776,12,0,0
fa3b676c-0970-4fcb-9480-ea5ccf893a40,130423a5251c89909a04c6266cbdac61,2026-03-19 12:35:10,/auth/refresh,POST,200,229,4.152,5,8.313,17,1,0
10f46966-5147-4eca-b927-f6a683f89878,d9cac05fb7b9c4227e5f73f0bc9d3f58,2026-02-27 10:59:10,/auth/refresh,POST,401,284,4.51,4,9.662,9,1,0
