request_id,ip_hash,timestamp,endpoint,http_method,response_code,payload_size_bytes,requests_per_min,unique_endpoints_per_session,inter_request_time_seconds,hour_of_day,failed_auth_streak,is_abuse
4f55698d-c110-452e-8512-ab0dce242f41,b8d1db762ade4ec0db89dd610a5796d6,2026-03-09 10:00:11,/payment/process,POST,200,414,346.697,2,0.0282,7,0,1
ae288833-60fd-49d3-9b51-6a1d22b7d6f4,93108b15c7eb5df342161d91f0e8f106,2026-03-01 07:52:06,/payment/process,POST,200,417,1.466,4,31.054,18,0,0
d336348d-ccfb-4722-b5dc-70d5925d0276,7741a364e5eeb9edf06398d37fe297fe,2026-03-15 13:50:13,/payment/refund,POST,200,448,2.472,1,32.785,12,0,0
bef7ddc2-8c6b-449a-9dea-f0adc467b6a6,2878d8185fa572d51f6fd1f68054702e,2026-02-24 12:21:56,/payment/status,POST,402,432,1.633,2,441.286,14,0,0
6a6cebbe-5f3f-4781-a9b5-57d9220f4478,fed5136805ae42eca45530d99dd64864,2026-03-23 15:11:29,/payment/status,POST,200,447,2.66,4,52.177,12,0,0
f89b5e70-da4b-4479-88a1-541168748553,03517f893ae08af6565337930ff7d7bd,2026-03-02 17:19:21,/payment/process,POST,402,378,1.709,3,60.526,11,0,0
41ec54e0-d6e1-42bc-a8a0-4516bac92553,bc49043262b0594e2cb2b798a8023bf2,2026-03-18 10:26:59,/payment/refund,POST,200,554,1.345,1,29.473,10,0,0
00bcf82a-a24c-4436-bdd4-e70aeb3a8cde,8605a49e831765b32bcd0a5616469e7a,2026-03-01 02:35:15,/payment/process,POST,200,386,297.22,2,0.0568,14,0,1
5c232da2-047e-458d-b388-8788679651a8,80423a6b3ab6c7cef099eb498be6fb6f,2026-03-01 14:57:31,/payment/status,GET,200,446,1.229,2,153.795,11,0,0
d6632aa7-f0b4-4642-8c19-1695dea49ed8,b81dc5242daca321212f0cbc5417104a,2026-03-11 09:54:29,/payment/status,GET,200,433,2.311,4,27.783,6,0,0
f76c4f59-2855-4551-a39c-de8ca01c3096,594ccf657b11d20c7ca1f472c8228ac2,2026-03-12 11:46:57,/payment/refund,GET,200,473,1.952,3,170.482,17,0,0
0eed2e57-1488-438b-8b42-3ff2b3fe3fe7,01d517a09f705c7056b29d2fea4d51cc,2026-03-10 10:56:03,/payment/process,POST,200,535,1.485,1,34.324,12,0,0
74e140ec-f6ef-49ae-881e-730d68c4d8a8,6e72f858f0f21bf6387b417eb66c7c39,2026-03-08 12:33:06,/payment/refund,POST,402,307,2.517,4,43.523,16,0,0
3d99024c-74e1-4803-9126-0097c597f00e,f3403252edf0cc8f4aa805d4537b0b6f,2026-02-27 13:33:59,/payment/process,POST,200,459,2.058,1,182.211,11,0,0
7b0a95ca-b5d9-446e-9323-3c3a54c27679,70ae2e80da3c2e6b6411ebcef0f2a6c2,2026-03-02 14:26:28,/payment/status,POST,200,454,2.05,2,199.294,15,0,0
291f44b9-f754-4fcb-b6dc-9a783b38fbc8,baf734b787a870c9464ca637f18c1d3e,2026-03-10 09:49:03,/payment/status,POST,200,383,1.755,1,64.343,9,0,0
631530f9-bd88-4774-b3a1-770e73771fd5,7741a364e5eeb9edf06398d37fe297fe,2026-02-27 15:41:15,/payment/status,POST,200,363,1.406,2,231.955,13,0,0
76f0ec81-5dc5-4965-86bc-f00610ea1bc6,f3403252edf0cc8f4aa805d4537b0b6f,2026-03-09 11:01:02,/payment/status,GET,402,415,2.655,2,139.974,13,0,0
177253de-f035-4d9f-83b8-c9ba6e13e9cc,8cd15d684e80d60af89e008084330c09,2026-03-24 10:00:32,/payment/refund,POST,500,441,2.807,2,28.236,14,0,0
393afb57-7c76-4cf0-9b93-0ffe7009ae20,024dbd15371e273a812bbdf73046673a,2026-03-08 02:11:56,/payment/process,POST,429,452,483.648,2,0.0655,14,0,1
9004a7aa-11b2-468b-b60e-44d4047f2228,2878d8185fa572d51f6fd1f68054702e,2026-03-13 11:30:04,/payment/refund,POST,200,538,1.136,2,52.321,10,0,0
13d843c9-504c-41a8-85fb-079811f95277,f3403252edf0cc8f4aa805d4537b0b6f,2026-03-16 11:57:47,/payment/process,POST,200,459,1.313,4,29.834,11,0,0
da2dd3c7-6c91-4d30-809e-a5ae1893a361,bce6fbaa71be11608dea7699367e8bb9,2026-03-20 11:27:40,/payment/process,POST,429,434,331.415,1,0.0463,23,0,1
c2e20c9b-75d2-4496-9a1b-c5bb09952399,5cfde176f930a4477405b9756de47bef,2026-02-28 13:49:00,/payment/process,GET,200,482,1.272,3,164.141,14,0,0
f0d33a26-14b4-4323-836d-76dd3e954c26,b8d1db762ade4ec0db89dd610a5796d6,2026-03-23 20:36:18,/payment/process,POST,429,405,462.338,1,0.0252,17,0,1
9a231959-77e0-4d6b-8584-b6500d22c712,6e72f858f0f21bf6387b417eb66c7c39,2026-03-18 16:38:50,/payment/status,POST,200,369,2.457,3,533.631,13,0,0
c7fbfe6f-0934-4fc1-b0c9-23169aa5d0cb,ebc0ca2c457c455b9a6272d0c84bc7ec,2026-03-12 15:42:49,/payment/refund,POST,200,455,1.309,2,34.642,12,0,0
c8dfe3d7-535a-4561-84af-cd527ef92a83,5cfde176f930a4477405b9756de47bef,2026-03-22 10:05:24,/payment/refund,POST,200,380,2.812,2,44.728,16,0,0
ec9e8891-eea7-4d04-9da6-079a3af8ebd5,e5bf47106258c4fc940104b558c9600f,2026-03-12 13:15:28,/payment/status,POST,200,407,3.023,3,49.017,10,0,0
7a6e6eab-160e-451d-bb3b-88d2ff074604,9f3d2920a84a9e98226ce945e6304b88,2026-03-01 16:12:48,/payment/process,POST,200,565,2.333,1,58.207,14,0,0
934f8770-5e4f-4806-8694-00e5d44826d3,ca725e81cbfa04b27ed6f01d914bce51,2026-03-01 16:40:08,/payment/status,POST,200,577,1.744,4,119.26,14,0,0
