request_id,ip_hash,timestamp,endpoint,http_method,response_code,payload_size_bytes,requests_per_min,unique_endpoints_per_session,inter_request_time_seconds,hour_of_day,failed_auth_streak,is_abuse
c67000e8-1314-41a6-a4d9-f9f346902084,9ee74bad34f4b7cef36c9ae72598aead,2026-03-18 02:15:16,/search/query,GET,200,74,56.699,2,1.117,14,0,1
f1d63183-0e5b-4cd4-9a61-ccf03bd258eb,02ef7afb32708cacb8742689f0f86c44,2026-03-25 14:00:52,/search/filter,GET,200,65,8.361,5,26.517,21,0,0
08788077-bb2e-491b-9331-0241db1c6356,fdea912a26780ac6ff10add17d9d6520,2026-03-21 13:13:34,/search/results,GET,200,65,9.014,10,7.274,14,0,0
78aa5741-7388-47af-af93-4103444716f1,005902e5711f4886cbd88b3f73f4988e,2026-03-01 17:49:21,/search/results,GET,200,30,9.603,12,15.066,16,0,0
0423353d-b944-4b03-9253-b1327f5747c9,e158420ee7c2c1c963c94d285d5c3689,2026-03-22 12:09:29,/search/results,GET,200,76,8.605,7,14.804,6,0,0
044f76bc-c249-4571-979c-102322b2da32,ebd1573373475b47997cf50df0511d79,2026-03-15 09:06:16,/search/suggest,GET,200,97,8.443,14,25.2,12,0,0
65238517-8036-4fcd-b52f-faf321937925,3d0f63153b099249118e29b1499e9c92,2026-03-25 10:04:35,/search/categories,GET,200,96,2.899,13,17.986,10,0,0
6dadbd53-d78a-4094-856d-5f3f2493e995,9ee74bad34f4b7cef36c9ae72598aead,2026-03-15 16:01:37,/search/query,GET,200,77,74.41,1,1.092,20,0,1
1ddd1aa4-44bf-481b-b2a7-38ee9042b0ca,7d95bbdf880da22d8231cb439608a44c,2026-03-21 15:17:00,/search/categories,GET,200,98,6.275,8,3.025,17,0,0
1a362cf0-7a63-4656-b3c7-2a4107f60c76,ec5e8c13a19730427ebc3a1041aa8cda,2026-03-12 16:03:50,/search/suggest,GET,200,58,6.064,7,21.784,11,0,0
aa0d1045-9def-479f-8475-434b3efd27b0,f7e3bd735ab3335ab30377439a3a8059,2026-03-24 11:52:34,/search/query,GET,404,39,2.643,12,10.313,15,0,0
c4f8a0a5-56f5-4299-bee7-3bf382423fbc,f94ea0e5c41f12bd9b9a31f9689481e5,2026-03-17 11:24:05,/search/suggest,GET,200,61,6.072,13,9.272,22,0,0
