round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4023,0.4076,0.5166,0.1971,0.4034,0.487,0.4076,0.5166,0.1971,0.4034,0.487,False
2,1.0,True,0.587,0.5141,0.8503,0.2738,0.622,0.675,0.4608,0.6835,0.2355,0.5127,0.581,False
3,1.0,True,0.7766,0.9427,0.922,0.5328,0.7273,0.7582,0.6214,0.763,0.3346,0.5842,0.6401,True
4,1.0,True,0.6334,0.6218,0.8875,0.3944,0.5263,0.7368,0.6928,0.8866,0.4003,0.6252,0.7234,True
5,1.0,True,0.87,0.9677,0.9437,0.8806,0.7292,0.8287,0.8441,0.9177,0.6026,0.6609,0.7746,True
6,1.0,True,0.6323,0.5051,0.7742,0.3061,0.8571,0.7192,0.6982,0.8685,0.527,0.7042,0.7616,True
7,1.0,True,0.9049,0.9437,1.0,0.8095,0.8806,0.8905,0.8055,0.906,0.6654,0.8223,0.8128,True
8,1.0,True,0.789,0.951,0.9664,0.3,0.8986,0.8289,0.7999,0.9135,0.4719,0.8788,0.8129,True
9,1.0,True,0.8095,0.6329,0.838,0.8485,0.9427,0.7853,0.8425,0.9348,0.6527,0.9073,0.8349,True
10,1.0,True,0.9369,0.9664,0.9655,0.8889,0.9664,0.8971,0.8501,0.9233,0.6791,0.9359,0.8371,True
